round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,0.7013,0.56111,0.51818,0.48352,0.7013,0.7013,0.7013
3,0.7013,0.57857,0.53182,0.51145,0.7013,0.7013,0.7013
4,0.7013,0.58987,0.54545,0.53554,0.7013,0.7013,0.7013
5,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
6,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
7,0.72727,0.66806,0.55,0.52843,0.72727,0.72727,0.72727
8,0.68831,0.56567,0.53636,0.52664,0.68831,0.68831,0.68831
9,0.72727,0.66806,0.55,0.52843,0.72727,0.72727,0.72727
10,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
11,0.7013,0.58987,0.54545,0.53554,0.7013,0.7013,0.7013
12,0.71429,0.61,0.51364,0.45705,0.71429,0.71429,0.71429
13,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
14,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
15,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
16,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
17,0.68831,0.56567,0.53636,0.52664,0.68831,0.68831,0.68831
18,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
19,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
20,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
21,0.72727,0.66806,0.55,0.52843,0.72727,0.72727,0.72727
22,0.71429,0.61,0.51364,0.45705,0.71429,0.71429,0.71429
23,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
24,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
25,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
26,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
27,0.72727,0.6982,0.53636,0.4986,0.72727,0.72727,0.72727
28,0.76623,0.73806,0.63182,0.64498,0.76623,0.76623,0.76623
29,0.72727,0.66806,0.55,0.52843,0.72727,0.72727,0.72727
30,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
31,0.74026,0.70657,0.57273,0.56349,0.74026,0.74026,0.74026
32,0.71429,0.61,0.51364,0.45705,0.71429,0.71429,0.71429
33,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
34,0.74026,0.68931,0.58636,0.58602,0.74026,0.74026,0.74026
35,0.75325,0.71569,0.60909,0.61631,0.75325,0.75325,0.75325
36,0.72727,0.6982,0.53636,0.4986,0.72727,0.72727,0.72727
37,0.72727,0.86184,0.52273,0.46333,0.72727,0.72727,0.72727
38,0.74026,0.74486,0.55909,0.53726,0.74026,0.74026,0.74026
39,0.77922,0.75758,0.65455,0.67218,0.77922,0.77922,0.77922
40,0.74026,0.70657,0.57273,0.56349,0.74026,0.74026,0.74026
41,0.72727,0.6982,0.53636,0.4986,0.72727,0.72727,0.72727
42,0.74026,0.70657,0.57273,0.56349,0.74026,0.74026,0.74026
43,0.74026,0.74486,0.55909,0.53726,0.74026,0.74026,0.74026
44,0.75325,0.775,0.58182,0.57335,0.75325,0.75325,0.75325
45,0.74026,0.74486,0.55909,0.53726,0.74026,0.74026,0.74026
46,0.77922,0.77859,0.64091,0.6567,0.77922,0.77922,0.77922
47,0.77922,0.75758,0.65455,0.67218,0.77922,0.77922,0.77922
48,0.77922,0.81429,0.62727,0.6389,0.77922,0.77922,0.77922
49,0.75325,0.775,0.58182,0.57335,0.75325,0.75325,0.75325
50,0.77922,0.75758,0.65455,0.67218,0.77922,0.77922,0.77922
